id;description;placed_date;promised_date;total_price;total_paid
1;orange Wells;2020-12-20T04:51:01;2020-12-20T18:09:48;27597;68317
2;Bacon Hat Money Market Account;2020-12-20T14:25:51;2020-12-20T14:23:35;28267;31995
3;Alabama matrix;2020-12-20T11:51:02;2020-12-20T18:35:41;8056;67731
4;neural-net Dynamic cross-platform;2020-12-20T19:44:11;2020-12-20T20:49:17;3312;76727
5;online Engineer;2020-12-20T09:58:22;2020-12-20T19:39:37;84424;4085
6;Oklahoma Branding;2020-12-20T17:02:45;2020-12-20T23:13:38;14719;52766
7;Orchestrator;2020-12-20T17:47:27;2020-12-20T04:38:10;46914;39664
8;Kiribati;2020-12-20T11:59:20;2020-12-20T03:52:24;92359;60861
9;metrics;2020-12-20T12:44:46;2020-12-20T16:55:34;22248;46175
10;Configuration complexity;2020-12-20T14:00:24;2020-12-20T16:54:02;4619;36237
